There are in total 1844 existing graphs.
8_60:                    2          3#          0*
8_61:                    1          1#          0*
8_64:                   81        116#          6*
8_67:                    1          0#          0*
8_68:                    0          4#          0*
8_75:                  132         36#          0*
8_77:                    1          2#          0*
8_84:                    1          1#          0*
8_93:                    1          0#          0*
8_109:                   5          8#          0*
8_111:                   9         11#          4*
8_117:                   4          3#          0*
8_139:                   1          3#          0*
8_140:                   1          3#          0*
8_143:                   0          1#          0*
8_144:                   1          0#          0*
8_147:                   0          1#          0*
8_150:                   0          4#          0*
8_151:                   1          0#          0*
8_152:                   8          5#          0*
8_153:                   8          3#          0*
8_157:                 169         40#         16*
8_163:                   2          0#          0*
8_166:                  11         10#          6*
8_171:                   8          9#          3*
8_174:                   1          1#          0*
8_175:                   5          5#          0*
8_176:                   1          5#          0*
8_186:                  73        132#         16*
8_187:                   0          1#          0*
8_189:                 187         29#         11*
8_194:                   1          1#          0*
8_204:                   0          1#          0*
8_205:                   2          2#          0*
8_208:                   1          3#          0*
8_215:                   1          2#          0*
8_218:                   1          0#          0*
8_221:                  10          0#          0*
8_231:                   1          0#          0*
8_244:                   4          0#          0*
8_246:                   0          1#          0*
8_251:                   1          3#          0*
8_255:                   3          1#          0*
8_256:                 169         24#          9*
8_257:                   4          8#          0*
8_258:                 172         45#         15*
8_259:                   0          2#          0*
8_268:                   0          1#          0*
8_296:                   0          1#          0*
8_303:                 206         37#         31*
8_336:                   1          0#          0*
8_349:                   8          5#          3*
8_374:                   0          1#          0*
8_414:                  60        109#         24*
8_418:                   1          0#          0*
8_431:                   3          1#          0*
8_434:                   4          1#          0*
8_446:                   1          0#          0*
8_465:                   1          1#          0*
8_488:                   1          0#          0*
8_508:                  10          5#          0*
8_512:                   2          2#          0*
8_528:                   1          0#          0*
8_546:                   1          1#          0*
8_554:                  87        141#         16*
8_570:                   0          1#          0*
8_575:                   0          1#          0*
8_585:                   2          0#          0*
8_601:                   3          1#          0*
8_602:                   2          0#          0*
8_611:                   1          1#          0*
8_619:                   4          0#          0*
8_638:                   1          0#          0*
8_648:                   1          2#          0*
8_649:                   1          0#          0*
8_658:                   1          0#          0*
8_667:                   1          0#          0*
8_678:                   1          5#          0*
8_682:                   0          1#          0*
8_683:                   1          3#          0*
8_685:                   1          2#          0*
8_705:                   1          3#          0*
8_707:                  39         15#         12*
8_721:                  63         20#         27*
8_726:                   1          1#          0*
8_727:                   1         16#          1*
8_735:                   8          0#          4*
8_736:                  10          4#          9*
8_755:                  11         13#          3*
8_763:                   1          1#          0*
8_765:                   0          1#          0*
8_766:                   1          0#          0*
8_780:                   1          0#          0*
8_781:                   4          6#          0*
8_886:                   2          0#          0*
8_901:                   0          1#          0*
8_907:                   2          4#          0*
8_909:                   0          1#          0*
8_912:                   2          0#          0*
8_916:                   0          2#          0*
8_919:                  12          0#          2*
8_943:                   1          1#          0*
8_948:                   1          1#          0*
8_959:                   8          0#          3*
8_962:                   0          1#          0*
8_971:                   0          1#          0*
8_1049:                  0          1#          0*
8_1083:                  3          1#          0*
8_1102:                  5          5#          0*
8_1161:                  0          1#          0*
8_1163:                  2          1#          0*
8_1174:                  2          0#          0*
8_1189:                173         24#          9*
8_1196:                170         18#          8*
8_1199:                  1          0#          0*
8_1213:                  2          1#          0*
8_1257:                  1          0#          0*
8_1288:                  1          0#          0*
8_1295:                  2          0#          0*
8_1296:                  4          8#          4*
8_1302:                  8          0#          4*
8_1333:                  2          0#          0*
8_1360:                  0          4#          0*
8_1407:                  1          2#          0*
8_1413:                  1         17#          1*
8_1420:                  2          1#          0*
8_1427:                  2          0#          0*
8_1441:                170         18#          8*
8_1487:                  4          0#          0*
8_1488:                  1          1#          0*
8_1489:                 24         10#          8*
8_1514:                  1          5#          0*
8_1516:                  3          1#          0*
8_1517:                 99        125#          8*
8_1533:                  0          2#          0*
8_1595:                  5          7#          0*
8_1596:                 45         11#         17*
8_1615:                  0          1#          0*
8_1617:                  0          1#          0*
8_1656:                 12          2#          3*
8_1677:                  0          0#          1*
8_1750:                  1          2#          0*
8_1751:                  1          0#          0*
8_1752:                  2          1#          0*
8_1753:                 72          9#         16*
8_1787:                  5          0#          0*
8_1905:                 17          0#          0*
8_1907:                  5          1#          0*
8_1964:                 27         24#          3*
8_1965:                  1          0#          0*
8_1966:                  1          2#          0*
8_1967:                 10          2#          0*
8_1969:                  0          1#          0*
8_1972:                  1          0#          0*
8_1973:                  1         27#          8*
8_2089:                  1          0#          0*
8_2142:                  1          0#          0*
8_2167:                  2          0#          0*
8_2252:                  2          1#          0*
8_2261:                  2          1#          0*
8_2263:                  2          0#          0*
8_2314:                  0          5#          0*
8_2435:                  1          0#          0*
8_2446:                 29          7#          4*
8_2450:                  0          2#          0*
8_2452:                  2          2#          0*
8_2464:                  1          0#          0*
8_2466:                147         36#          7*
8_2475:                  1         18#          7*
8_2499:                  0          1#          0*
8_2537:                  2          0#          0*
8_2542:                  0          1#          0*
8_2642:                  2          1#          1*
8_2662:                140         25#          3*
8_2738:                183         18#          9*
8_2751:                  2          0#          0*
8_2791:                  3          2#          1*
8_2817:                149         26#          8*
8_2874:                  3          1#          3*
8_3000:                  1          0#          0*
8_3001:                  1          0#          0*
8_3024:                183         18#         10*
8_3039:                  1          3#          0*
8_3041:                  0          6#          0*
8_3064:                  0          2#          0*
8_3065:                  0          2#          0*
8_3091:                  2          0#          0*
8_3140:                  1          2#          0*
8_3152:                  0          1#          0*
8_3161:                  1          0#          1*
8_3164:                  1          2#          0*
8_3165:                 35          6#          8*
8_3178:                  3          4#          0*
8_3202:                  0          6#          0*
8_3205:                  0          5#          0*
8_3221:                 14         11#          9*
8_3235:                  0          4#          0*
8_3246:                 85        101#         16*
8_3248:                  0          2#          0*
8_3258:                 20          2#          5*
8_3296:                  0          1#          0*
8_3306:                  0          1#          0*
8_3379:                  0          1#          0*
